date,open,high,low,close,volume,amount
2017-06-01,3108.42,3113.52,3097.68,3102.62,1630157.0,180782628864.0
2017-06-02,3094.23,3110.39,3081.85,3105.54,1425049.0,154454343680.0
2017-06-05,3102.11,3105.51,3084.83,3091.66,1325703.0,143429795840.0
2017-06-06,3084.54,3102.86,3078.79,3102.13,1134399.0,127804620800.0
2017-06-07,3101.76,3140.77,3098.95,3140.32,1732290.0,194287943680.0
2017-06-08,3136.47,3153.26,3132.83,3150.33,1522776.0,178894290944.0
2017-06-09,3147.45,3165.92,3146.11,3158.4,1601363.0,181584887808.0
2017-06-12,3149.53,3164.95,3135.31,3139.88,1467294.0,170223271936.0
2017-06-13,3134.01,3155.99,3131.04,3153.74,1283182.0,148457865216.0
2017-06-14,3146.75,3149.17,3125.35,3130.67,1383470.0,160641236992.0
2017-06-15,3125.59,3137.59,3117.08,3132.49,1469542.0,171124523008.0
2017-06-16,3126.37,3134.25,3117.86,3123.17,1296527.0,149215477760.0
2017-06-19,3122.16,3146.77,3121.78,3144.37,1348917.0,151741792256.0
2017-06-20,3148.02,3150.46,3134.61,3140.01,1411918.0,162498019328.0
2017-06-21,3148.99,3157.03,3132.62,3156.21,1366882.0,167048216576.0
2017-06-22,3152.24,3186.98,3146.64,3147.45,1913440.0,220438446080.0
2017-06-23,3138.44,3158.05,3118.09,3157.87,1548436.0,175568519168.0
2017-06-26,3157.0,3187.89,3156.98,3185.44,1735792.0,200419295232.0
2017-06-27,3183.42,3193.46,3172.46,3191.2,1482012.0,167523794944.0
2017-06-28,3183.63,3193.44,3170.79,3173.2,1465167.0,162081095680.0
2017-06-29,3174.98,3188.77,3174.28,3188.06,1287554.0,147249790976.0
2017-06-30,3176.95,3193.24,3171.57,3192.43,1214645.0,143195602944.0
2017-07-03,3192.0,3196.29,3177.02,3195.91,1403057.0,156575776768.0
2017-07-04,3192.89,3193.06,3174.31,3182.8,1411149.0,161454555136.0
2017-07-05,3179.22,3207.31,3174.71,3207.13,1482964.0,173554008064.0
2017-07-06,3203.86,3215.95,3188.77,3212.44,1758092.0,202209624064.0
2017-07-07,3203.82,3219.52,3195.29,3217.96,1767154.0,201938321408.0
2017-07-10,3208.46,3223.34,3203.21,3212.63,1989280.0,222828314624.0
2017-07-11,3201.52,3226.91,3199.22,3203.04,1878372.0,205493370880.0
2017-07-12,3201.93,3215.2,3177.93,3197.54,1869008.0,201799614464.0
2017-07-13,3192.36,3219.27,3190.34,3218.16,1953036.0,210820890624.0
2017-07-14,3212.03,3222.98,3204.85,3222.42,1601267.0,174312144896.0
2017-07-17,3219.79,3230.35,3139.5,3176.46,2662052.0,274653249536.0
2017-07-18,3159.73,3187.67,3150.13,3187.57,1906230.0,196452368384.0
2017-07-19,3181.4,3232.94,3179.73,3230.98,2724207.0,269771014144.0
2017-07-20,3227.51,3246.24,3225.43,3244.86,2321083.0,245825421312.0
2017-07-21,3236.59,3247.71,3231.96,3237.98,2060032.0,221956915200.0
2017-07-24,3230.9,3261.1,3230.07,3250.6,2330564.0,250631192576.0
2017-07-25,3249.14,3261.65,3233.14,3243.69,2055738.0,213405499392.0
2017-07-26,3244.46,3264.85,3228.04,3247.67,2135420.0,228460511232.0
2017-07-27,3243.76,3251.93,3220.64,3249.78,2284859.0,242572083200.0
2017-07-28,3240.17,3256.37,3232.96,3253.24,1822268.0,198428590080.0
2017-07-31,3252.75,3276.95,3251.19,3273.03,2460394.0,253525917696.0
2017-08-01,3274.37,3292.64,3273.5,3292.64,2371946.0,256419938304.0
2017-08-02,3288.52,3305.43,3282.04,3285.06,2667306.0,279352344576.0
2017-08-03,3279.99,3293.37,3262.16,3272.93,2332770.0,243549536256.0
2017-08-04,3269.32,3287.19,3261.31,3262.08,2759063.0,285634756608.0
2017-08-07,3257.67,3280.1,3243.72,3279.46,2311733.0,231874379776.0
2017-08-08,3277.19,3285.48,3269.66,3281.87,2520435.0,255770181632.0
2017-08-09,3277.81,3277.94,3263.85,3275.57,2355979.0,237815119872.0
2017-08-10,3269.73,3282.52,3236.18,3261.75,2406846.0,251854045184.0
2017-08-11,3237.92,3245.12,3200.75,3208.54,2629630.0,266998267904.0
2017-08-14,3206.04,3240.05,3206.04,3237.36,1903468.0,209096081408.0
2017-08-15,3235.23,3263.59,3235.1,3251.26,1822980.0,204595855360.0
2017-08-16,3247.85,3248.78,3228.87,3246.45,1768520.0,200832532480.0
2017-08-17,3253.85,3269.14,3251.46,3268.43,2036225.0,228376936448.0
2017-08-18,3253.24,3275.08,3248.08,3268.72,1911224.0,218437746688.0
2017-08-21,3274.58,3287.52,3270.48,3286.91,1861224.0,209718591488.0
2017-08-22,3287.61,3293.48,3274.94,3290.23,1865379.0,222927486976.0
2017-08-23,3283.8,3299.46,3274.44,3287.7,1798322.0,204330418176.0
2017-08-24,3287.96,3297.99,3266.36,3271.51,1634689.0,186245054464.0
2017-08-25,3271.46,3331.91,3271.46,3331.52,2058394.0,227141025792.0
2017-08-28,3336.13,3375.03,3336.13,3362.65,2574614.0,305319870464.0
2017-08-29,3362.06,3374.59,3354.46,3365.23,2195045.0,268916097024.0
2017-08-30,3361.82,3376.65,3357.08,3363.63,2468633.0,279640801280.0
2017-08-31,3361.46,3367.36,3340.69,3360.81,2344197.0,269133103104.0
2017-09-01,3365.99,3381.93,3358.47,3367.12,2824976.0,313722077184.0
2017-09-04,3369.72,3381.4,3359.13,3379.58,2674278.0,296348418048.0
2017-09-05,3377.2,3390.82,3371.57,3384.32,2165529.0,245596602368.0
2017-09-06,3372.43,3391.01,3364.76,3385.39,2290907.0,262034653184.0
2017-09-07,3383.63,3387.8,3363.18,3365.5,2211187.0,264037023744.0
2017-09-08,3364.43,3380.89,3353.69,3365.24,1984051.0,235160223744.0
2017-09-11,3365.35,3384.81,3360.05,3376.42,2190110.0,256888815616.0
2017-09-12,3381.49,3391.07,3370.85,3379.49,2729103.0,325024940032.0
2017-09-13,3374.72,3387.14,3366.54,3384.15,1945507.0,230733414400.0
2017-09-14,3383.47,3391.64,3361.33,3371.43,2213064.0,256744423424.0
2017-09-15,3365.15,3365.53,3345.33,3353.62,2197658.0,252910682112.0
2017-09-18,3352.51,3371.75,3352.51,3362.86,1903196.0,227938631680.0
2017-09-19,3365.53,3370.4,3344.71,3356.84,1911297.0,220728737792.0
2017-09-20,3352.18,3370.1,3346.54,3366.0,1921966.0,225839071232.0
2017-09-21,3364.7,3377.88,3356.88,3357.81,1974486.0,231946125312.0
2017-09-22,3347.16,3356.45,3334.98,3352.53,1792340.0,206583463936.0
2017-09-25,3344.59,3350.96,3334.94,3341.55,1696213.0,202401693696.0
