date,open,high,low,close,volume,amount
2018-01-02,4.11,4.15,3.97,4.02,42169,119597197.0
2018-01-03,4.05,4.25,4.03,4.24,72213,209631089.0
2018-01-04,4.24,4.24,4.07,4.11,66521,192372727.0
2018-01-05,4.1,4.15,3.99,4.0,39589,113087995.0
2018-01-08,4.01,4.01,3.47,3.48,99445,259498557.0
2018-01-09,3.46,3.59,3.41,3.57,43490,111991912.0
2018-01-10,3.53,3.58,3.49,3.52,33231,85674886.0
2018-01-11,3.53,3.63,3.5,3.56,29732,77472826.0
2018-01-12,3.57,3.57,3.31,3.31,50352,126982123.0
2018-01-15,3.39,3.42,3.04,3.1,59724,142930102.0
2018-01-16,3.17,3.23,3.11,3.15,37084,88359576.0
2018-01-17,3.02,3.23,2.83,3.11,58933,136761475.0
2018-01-18,3.14,3.31,3.14,3.22,52529,127051811.0
2018-01-19,3.21,3.32,3.11,3.13,39004,94098715.0
2018-01-22,3.25,3.32,3.16,3.27,43430,105548443.0
2018-01-23,3.26,3.43,3.26,3.32,43265,107251546.0
2018-01-24,3.33,3.45,3.22,3.41,47253,117118831.0
2018-01-25,3.39,3.44,3.27,3.27,38750,95899918.0
2018-01-26,3.26,3.32,3.17,3.18,20856,50259745.0
2018-01-29,3.18,3.18,3.0,3.07,30373,70867586.0
2018-01-30,3.04,3.14,3.04,3.1,18846,44193415.0
2018-01-31,3.17,3.17,2.96,2.96,20163,46686922.0
2018-02-01,2.92,3.01,2.74,2.78,24573,54258848.0
2018-02-02,2.74,2.87,2.65,2.83,18821,41073606.0
2018-02-05,2.76,2.89,2.72,2.8,21635,47390876.0
2018-02-06,2.71,2.87,2.61,2.64,23323,50281238.0
2018-02-07,2.8,2.8,2.46,2.72,24162,51081347.0
2018-02-08,2.72,2.99,2.71,2.95,37471,83521903.0
2018-02-09,2.88,3.06,2.81,2.9,43036,96929742.0
2018-02-12,2.98,3.09,2.94,3.06,35716,82523981.0
2018-02-13,3.07,3.07,2.94,2.97,25636,58838706.0
2018-02-14,2.96,3.01,2.87,2.92,14427,32358011.0
2018-02-22,2.98,3.13,2.87,3.07,24127,55800023.0
2018-02-23,3.05,3.11,3.02,3.08,19188,44607279.0
2018-02-26,3.12,3.49,3.06,3.42,59543,146403398.0
2018-02-27,3.37,3.61,3.3,3.48,70620,180183296.0
2018-02-28,3.41,3.64,3.35,3.54,56472,145953952.0
2018-03-01,3.52,3.62,3.48,3.6,37413,97078362.0
2018-03-02,3.56,3.62,3.37,3.41,43974,112508076.0
2018-03-05,3.39,3.73,3.39,3.7,62893,163512752.0
2018-03-06,3.74,3.85,3.61,3.66,55761,148724101.0
2018-03-07,3.63,3.69,3.49,3.58,38161,99067862.0
