date,open,high,low,close,volume,amount
2021-01-04,178.35,207.8,178.35,203.91,224808,8687099136.0
2021-01-05,198.85,203.74,193.86,202.74,227452,9014539776.0
2021-01-06,206.07,210.52,196.63,205.39,186681,7476239872.0
2021-01-07,202.18,209.96,199.89,208.98,173895,7064219648.0
2021-01-08,212.18,215.51,200.18,204.13,210067,8534719488.0
2021-01-11,207.12,207.12,193.85,196.07,230050,9098694912.0
2021-01-12,193.57,204.07,190.52,202.28,165597,6519876608.0
2021-01-13,201.63,207.46,186.62,193.29,272620,10634079232.0
2021-01-14,187.85,192.74,183.86,184.41,196066,7315308800.0
2021-01-15,183.84,192.73,182.18,190.82,198229,7439894528.0
2021-01-18,188.71,197.07,188.17,192.68,142012,5471186944.0
2021-01-19,192.74,193.85,181.93,182.8,162867,6085692672.0
2021-01-20,187.07,197.95,185.47,196.85,213416,8254525696.0
2021-01-21,194.41,201.07,190.52,196.79,174792,6831720448.0
2021-01-22,196.91,207.34,196.91,206.07,190442,7637563904.0
2021-01-25,205.13,211.82,197.37,199.93,217414,8762929152.0
2021-01-26,199.86,199.86,192.61,193.57,151044,5853513728.0
2021-01-27,197.18,197.85,186.07,196.36,148385,5705898496.0
2021-01-28,190.52,192.19,183.85,184.91,181820,6792412672.0
2021-01-29,188.3,188.85,169.72,176.13,276013,9896346112.0
2021-02-01,175.52,177.68,171.74,174.03,175251,6170654208.0
2021-02-02,174.97,184.96,166.83,183.74,250865,8919403776.0
2021-02-03,189.96,194.72,187.77,191.06,211073,8082621696.0
2021-02-04,193.24,198.18,190.24,195.24,216302,8354708736.0
2021-02-05,198.85,199.96,186.54,186.88,184117,7036248064.0
2021-02-08,187.74,204.29,186.63,203.85,244027,9586610944.0
2021-02-09,207.85,209.96,202.07,207.29,162037,6632109568.0
2021-02-10,209.4,210.85,204.96,208.66,162830,6704613888.0
2021-02-18,213.85,213.85,194.34,199.96,238249,9491493888.0
2021-02-19,196.07,199.41,187.29,194.68,186904,7159858432.0
2021-02-22,194.68,199.29,187.68,187.74,167204,6411239424.0
2021-02-23,184.96,188.59,179.89,188.59,136047,5027757824.0
2021-02-24,187.74,189.41,167.96,172.18,302721,10682015744.0
2021-02-25,175.99,175.99,165.52,166.68,245757,8445690112.0
2021-02-26,158.85,164.41,155.96,158.42,229506,7449904896.0
2021-03-01,163.58,171.42,161.78,170.85,205394,6964880640.0
2021-03-02,175.52,175.63,168.88,173.63,152811,5308970496.0
2021-03-03,171.66,173.64,168.49,173.64,104644,3617077584.0
2021-03-04,171.07,171.07,158.8,160.28,181034,5984259584.0
2021-03-05,153.3,161.01,150.7,157.18,173073,5511104256.0
2021-03-08,158.85,165.36,146.56,148.85,212955,6751702272.0
2021-03-09,146.07,151.91,139.96,146.07,273577,8235734784.0
2021-03-10,154.96,158.45,153.29,154.13,237638,7542999040.0
2021-03-11,154.96,164.67,152.35,163.45,209643,6829108480.0
2021-03-12,166.58,171.07,163.46,169.11,189520,6424536320.0
2021-03-15,168.29,168.29,149.96,152.91,230404,7361113600.0
2021-03-16,155.52,159.96,153.57,158.85,137124,4384184064.0
2021-03-17,156.01,166.18,153.35,164.41,146726,4829807872.0
2021-03-18,164.96,170.02,164.69,165.96,113670,3840901088.0
2021-03-19,159.96,164.4,152.18,155.24,189716,6051504896.0
2021-03-22,156.63,157.74,145.46,150.41,231719,7137600256.0
2021-03-23,148.85,151.98,146.14,148.24,151169,4603585024.0
2021-03-24,148.85,148.91,137.74,139.84,252082,7334176768.0
2021-03-25,135.24,142.38,134.99,141.38,184399,5281518848.0
2021-03-26,143.29,153.88,142.18,153.64,237103,7292443392.0
2021-03-29,153.57,157.06,148.86,152.52,155632,4871068416.0
2021-03-30,152.52,157.73,150.52,156.62,126404,4003150832.0
2021-03-31,156.57,160.61,153.29,158.39,160546,5133802496.0
2021-04-01,159.29,165.79,159.02,162.73,113338,3741712768.0
2021-04-02,164.38,166.17,161.01,164.07,92629,3074575824.0
2021-04-06,165.52,167.18,156.68,160.41,104638,3421873648.0
2021-04-07,164.36,164.36,152.82,157.18,133931,4245479568.0
2021-04-08,153.85,158.11,152.18,157.1,78710,2507089328.0
2021-04-09,159.41,159.41,151.63,152.74,93237,2918718128.0
2021-04-12,156.22,159.98,153.35,154.41,140595,4483570176.0
2021-04-13,153.46,164.41,153.35,159.83,140211,4558191616.0
2021-04-14,163.44,172.46,162.01,171.63,185043,6295708672.0
2021-04-15,168.27,169.13,164.5,166.63,124741,4202803200.0
2021-04-16,168.29,168.52,159.74,164.87,115363,3834287104.0
2021-04-19,165.52,181.91,163.49,181.63,205477,7250923520.0
2021-04-20,178.28,184.29,175.79,178.85,142834,5154523648.0
2021-04-21,174.49,178.24,172.63,177.01,123996,4373021952.0
2021-04-22,182.74,183.07,175.87,180.72,107913,3907120256.0
2021-04-23,180.72,186.63,179.41,185.79,115365,4255126800.0
2021-04-26,186.96,190.52,172.29,173.29,256237,9238754816.0
2021-04-27,173.85,174.29,168.44,173.07,151810,5243699456.0
2021-04-28,175.52,187.74,174.96,183.31,236326,8597828864.0
2021-04-29,185.41,191.57,183.78,190.51,180863,6806129664.0
2021-04-30,186.63,197.18,183.81,195.06,258651,9896566272.0
2021-05-06,196.07,196.07,184.13,192.74,189680,7198512640.0
2021-05-07,192.74,194.71,182.81,183.45,151385,5685506816.0
2021-05-10,182.07,187.18,179.41,183.97,124553,4573789440.0
2021-05-11,180.52,184.91,175.52,183.07,114121,4142445888.0
2021-05-12,183.29,184.44,176.96,180.24,133602,4812795136.0
2021-05-13,176.24,178.73,173.68,174.46,113476,4017576448.0
2021-05-14,175.81,179.68,170.06,178.85,176577,6228877312.0
2021-05-17,179.41,188.23,179.4,186.73,193309,7172265216.0
2021-05-18,186.07,190.07,182.99,184.46,89620,3323751520.0
2021-05-19,183.02,190.52,181.07,187.77,117464,4407782400.0
2021-05-20,189.29,192.68,185.02,189.26,128440,4839062784.0
2021-05-21,192.06,194.56,184.39,188.06,140566,5316782080.0
2021-05-24,190.52,195.27,188.39,194.94,169611,6535959040.0
2021-05-25,195.76,199.41,193.68,199.14,149577,5881748224.0
2021-05-26,198.85,201.62,193.11,193.53,126989,4932244992.0
2021-05-27,194.69,196.07,191.54,192.74,79598,3073473008.0
2021-05-28,196.07,213.57,196.07,206.96,277151,11346592512.0
2021-05-31,210.52,221.39,209.41,220.57,200063,8540083712.0
2021-06-01,212.74,218.85,210.81,215.71,158754,6727933184.0
2021-06-02,217.79,220.34,212.33,215.24,115712,4933369600.0
2021-06-03,216.07,217.34,207.18,209.84,123760,5164432640.0
2021-06-04,212.18,223.57,210.05,219.52,180102,7765735936.0
2021-06-07,214.88,214.96,201.63,205.79,215294,8812647424.0
2021-06-08,203.85,215.43,203.85,206.96,166317,6887633920.0
2021-06-09,206.63,210.52,203.29,206.83,93582,3829137536.0
