日期,开盘,最高,最低,收盘,成交量,成交额,DIF,DEA,MACD柱
2025-07-01,125.03,128.8,124.89,127.2,289896.0,3681489920.0,5.7478,3.4049,4.6859
2025-07-02,124.92,125.58,121.3,124.98,350244.0,4332558336.0,6.1008,3.9441,4.3135
2025-07-03,127.42,130.97,126.05,129.66,457259.0,5870692864.0,6.6812,4.4915,4.3793
2025-07-04,129.82,132.28,127.33,128.35,439030.0,5717581824.0,6.9552,4.9842,3.942
2025-07-07,126.5,128.89,121.4,126.49,407600.0,5100394496.0,6.9423,5.3758,3.1329
2025-07-08,126.48,135.0,126.05,134.98,478314.0,6310094336.0,7.5303,5.8067,3.4471
2025-07-09,134.55,137.97,134.01,135.55,358956.0,4885000192.0,7.9507,6.2355,3.4303
2025-07-10,137.55,138.58,129.35,133.05,525018.0,6987313152.0,7.99,6.5864,2.8071
2025-07-11,134.29,134.35,130.05,131.16,318894.0,4207384320.0,7.7789,6.8249,1.908
2025-07-14,132.5,133.1,129.38,130.9,303612.0,3987133952.0,7.5042,6.9608,1.0869
2025-07-15,149.02,157.08,148.28,157.08,525323.0,8097611264.0,9.2919,7.427,3.7298
2025-07-16,161.71,179.28,161.0,169.8,1149386.0,19663974400.0,11.6013,8.2619,6.6789
2025-07-17,167.01,185.0,167.01,183.5,677761.0,12063486976.0,14.3713,9.4838,9.7752
2025-07-18,186.5,191.0,180.0,182.32,643489.0,11974587392.0,16.2837,10.8437,10.8799
2025-07-21,184.83,186.6,173.79,178.26,606420.0,10816017408.0,17.2725,12.1295,10.286
2025-07-22,178.27,184.2,174.83,176.71,562958.0,10098102272.0,17.7268,13.2489,8.9556
2025-07-23,172.61,175.55,169.8,174.2,431956.0,7479016960.0,17.6804,14.1352,7.0903
2025-07-24,176.71,177.33,167.59,172.8,526642.0,9043031040.0,17.3309,14.7744,5.1131
2025-07-25,172.3,175.73,172.2,172.97,286816.0,4975181312.0,16.8732,15.1941,3.3581
2025-07-28,172.96,179.76,170.18,177.8,647447.0,11370187776.0,16.7075,15.4968,2.4215
2025-07-29,178.27,194.43,178.23,193.39,775884.0,14504169472.0,17.631,15.9237,3.4147
2025-07-30,188.0,192.37,183.83,190.35,571081.0,10736773120.0,17.9111,16.3211,3.1799
2025-07-31,199.0,200.88,188.1,189.21,749111.0,14604518400.0,17.8355,16.624,2.423
2025-08-01,185.14,191.6,180.44,183.12,505863.0,9366500352.0,17.0872,16.7167,0.7411
2025-08-04,179.64,185.34,177.83,184.5,333705.0,6068963840.0,16.4163,16.6566,-0.4806
2025-08-05,189.0,190.01,176.3,182.45,442165.0,8082249216.0,15.54,16.4333,-1.7865
2025-08-06,180.0,187.58,179.11,186.4,309180.0,5724833792.0,14.9915,16.1449,-2.3068
2025-08-07,186.4,189.46,176.42,183.62,406132.0,7408401920.0,14.1691,15.7498,-3.1612
2025-08-08,183.0,185.58,180.88,182.28,261915.0,4801843200.0,13.2565,15.2511,-3.9893
2025-08-11,182.33,196.3,182.32,192.89,416046.0,7959458304.0,13.2367,14.8482,-3.223
2025-08-12,193.38,205.0,193.2,204.9,517866.0,10402526208.0,14.0285,14.6843,-1.3116
2025-08-13,206.0,238.6,204.61,236.56,601120.0,13528602624.0,17.0145,15.1503,3.7284
2025-08-14,233.3,239.8,230.66,231.06,449757.0,10552669184.0,18.7214,15.8645,5.7136
2025-08-15,230.01,237.21,226.89,233.2,400483.0,9319958528.0,20.016,16.6948,6.6423
2025-08-18,233.34,251.66,227.86,244.29,499040.0,12044823552.0,21.6869,17.6932,7.9873
2025-08-19,244.29,263.6,241.52,256.79,451175.0,11519713280.0,23.746,18.9038,9.6844
2025-08-20,247.0,255.48,236.22,255.14,418240.0,10350351360.0,24.957,20.1144,9.6851
2025-08-21,255.81,262.6,246.22,257.86,397303.0,10161433600.0,25.8384,21.2592,9.1583
2025-08-22,254.21,279.0,254.21,273.81,460222.0,12339156992.0,27.5068,22.5087,9.9962
2025-08-25,283.32,304.08,275.78,296.12,587099.0,17077474304.0,30.2803,24.063,12.4344
2025-08-26,298.0,300.9,282.04,282.04,489957.0,14226514944.0,30.9849,25.4474,11.075
2025-08-27,290.09,324.42,290.09,308.33,735108.0,22751217664.0,33.2811,27.0141,12.5339
2025-08-28,301.8,355.19,301.8,354.95,730041.0,24000243712.0,38.4198,29.2953,18.249
